id_processo,numero_processo,polo_ativo,polo_passivo,tipo_processo,area_juridica,valor_causa,custo_total,honorarios_advogado,provisao_risco,fase_atual,status_processo,data_abertura,data_ultima_movimentacao,data_encerramento,tempo_tramitacao_dias,decisao_final,responsavel,escritorio_responsavel,tribunal_responsavel,comarca,instancia,uf_processo,descricao_processo,movimentacoes
489,84643-79.2002.3.25.2775,Maria Sophia Martins,Eduardo da Costa,Falência,Direito Empresarial,960667.4,16973.22,52444.88,215190.12,Recurso de Apelação,Ativo,2023-08-14,2025-06-04,,,,André Teixeira,Rodrigues Duarte S/A Advogados,STJ,Brasília,TST,PR,Nihil laudantium illo temporibus quos aperiam voluptatum. Fuga animi labore mollitia ipsa.,"['2023-09-01: Atque rem voluptatibus non repudiandae ad fugit dolor.', '2023-11-11: Enim earum porro quae deserunt deleniti minima sint quasi.', '2023-12-18: Quasi ex sunt vitae ducimus iure magni recusandae.', '2024-01-29: Maxime maiores commodi iusto ullam occaecati nam fugiat.', '2024-03-23: Perferendis debitis aspernatur iure occaecati dolor laudantium quod blanditiis qui consectetur.', '2024-06-17: Eveniet ullam molestias assumenda qui rerum.', '2024-07-31: Cumque ipsam in sunt sed.', '2024-10-20: Adipisci voluptatum similique est ea iusto quos recusandae accusantium ducimus.', '2024-12-02: Rem exercitationem ipsam illum libero delectus.', '2025-01-27: Error expedita error voluptates necessitatibus voluptatem explicabo.', '2025-03-29: Hic ducimus sequi nostrum voluptas architecto rerum provident adipisci soluta.', '2025-05-14: Ex ut error sequi.', '2025-06-04: Cumque quia fugiat repudiandae in doloribus temporibus nostrum repellendus.', '2025-06-04: Recusandae voluptate recusandae perferendis itaque illo.', '2025-06-04: Laborum praesentium sed officia delectus voluptas dolores saepe.']"
490,12293-36.1990.6.53.2930,Pastor Câmara S/A,Srta. Maria Helena Mendes,Usucapião,Direito Imobiliário,590921.62,35585.95,80855.28,429529.51,Arquivado,Arquivado,2023-03-16,2025-06-04,2025-05-22,798.0,Extinto com Resolução de Mérito,Luiz Henrique Ferreira,Nunes Silva Ltda. Advogados,TJSP,Fortaleza,2ª Instância,MT,Itaque provident minus repudiandae.,"['2023-04-09: Perferendis numquam quasi aliquid aut.', '2023-05-21: Voluptatibus itaque quisquam in cupiditate sequi.', '2023-06-06: Officia facere temporibus a itaque occaecati ipsum similique exercitationem magnam.', '2023-08-31: Consectetur voluptas atque excepturi recusandae vel.', '2023-11-15: Ullam sunt aspernatur voluptates voluptas mollitia distinctio officia sed.', '2024-01-23: Tenetur amet eveniet totam dolore eius voluptatum quam iusto est quos.', '2024-02-19: Molestias quo quaerat fuga doloremque.', '2024-03-23: Excepturi eos magni eum impedit.', '2024-05-01: Sunt excepturi placeat quod ea ut sed dolores enim corrupti.', '2024-07-22: Corrupti provident vel impedit facilis maxime quibusdam fugiat.', '2024-09-15: Officiis distinctio aliquid voluptatum cum inventore.', '2024-12-12: Quae maiores iure atque culpa voluptatibus rerum reprehenderit soluta ex.', '2025-02-08: Ea repellat perferendis tempore veniam quidem aut aut molestias.', '2025-03-10: Enim sequi aspernatur nemo asperiores temporibus.', '2025-04-26: Voluptatibus quae occaecati sunt tempora qui unde.', '2025-06-04: Corrupti dicta iste aut laborum quibusdam aliquam esse.', '2025-06-04: Porro laboriosam eaque odio voluptas exercitationem exercitationem sint.', '2025-06-04: Quam cupiditate voluptatibus aliquid consectetur eos debitis doloremque vero at voluptatibus.', '2025-06-04: Dolorem dolor quas quasi sequi possimus totam.', '2025-06-04: Numquam iste quia ullam architecto et vero nostrum ipsam sapiente.', '2025-06-04: Ut neque quas in iusto occaecati commodi odio quae ratione quas.', '2025-06-04: Libero quis possimus voluptatum asperiores.', '2025-06-04: Aliquam sit adipisci perspiciatis ea.', '2025-06-04: Aliquid ex officia aliquid nesciunt.', '2025-06-04: Tempore modi id expedita accusantium molestias nisi distinctio.']"
491,92056-05.1991.3.62.4665,Paulo Pacheco,Fonseca,Revisão Contratual,Direito Penal,117667.16,17314.85,10638.49,29965.86,Suspenso,Suspenso,2021-12-22,2022-05-16,,,,Luiz Henrique Ferreira,Souza Novais - EI Advogados,TJDF,Brasília,1ª Instância,AL,Quis cumque omnis eos placeat. Iste neque perspiciatis sit aperiam.,"['2022-02-23: Ab excepturi dolor esse minus molestias ut laudantium voluptatum nisi.', '2022-05-16: Explicabo labore id est nemo vitae veritatis mollitia aut.']"
492,17338-78.2007.2.38.2198,Carvalho,Barbosa - EI,Execução,Direito do Consumidor,642431.14,62814.91,79450.88,203070.69,Arquivado,Arquivado,2021-01-25,2024-06-05,2023-10-14,992.0,Recurso Provido,Luiz Henrique Ferreira,Rodrigues Duarte S/A Advogados,TRT1,Porto Alegre,TST,PB,Perferendis soluta debitis dolorem. Repudiandae vero esse sit illum repudiandae expedita.,"['2021-03-31: Alias magni perspiciatis iure perspiciatis blanditiis culpa cum.', '2021-05-05: Perspiciatis odio reiciendis eius ratione pariatur error.', '2021-05-27: Minima quos hic nulla sit est voluptas.', '2021-08-07: Praesentium debitis occaecati iure nulla.', '2021-09-08: At consequatur quaerat laboriosam dolor ratione assumenda doloremque modi ipsam.', '2021-11-13: Optio beatae quisquam distinctio nobis eum facilis.', '2022-01-19: Tempore quam quod saepe ipsam saepe.', '2022-02-19: Reprehenderit recusandae ipsam similique.', '2022-03-23: Animi nulla perspiciatis natus dolores nostrum.', '2022-05-21: Ducimus nam cum quaerat exercitationem veniam.', '2022-06-07: Natus repellendus assumenda omnis odit veritatis.', '2022-09-01: Ut maxime placeat reprehenderit magni quam sunt quam accusamus doloremque.', '2022-09-27: Esse odit eum ab alias magni exercitationem placeat eaque.', '2022-12-13: Itaque magnam hic voluptatem illum architecto.']"
493,91971-60.2014.1.21.2094,Bernardo Vasconcelos,Eduardo da Costa,Ação Popular,Direito Civil,199240.81,14652.43,15248.52,0.0,Suspenso,Suspenso,2022-09-15,2025-04-25,,,,Sr. Caleb Garcia,Carvalho Advogados,TRT2,Curitiba,1ª Instância,DF,Ad natus corrupti ullam corrupti. Cumque veritatis est.,"['2022-10-25: Nobis exercitationem officiis architecto ea quibusdam doloribus ea eveniet ex.', '2022-12-23: At omnis consequuntur tenetur.', '2023-02-27: Officia magnam nam dignissimos consectetur amet facere non animi nemo.']"
494,24249-59.2024.2.60.1174,Carvalho,Caroline Silveira,Revisão Contratual,Direito do Trabalho,219652.2,15170.49,0.0,0.0,Suspenso,Suspenso,2021-01-03,2023-08-19,,,,Cauã Rocha,Souza Novais - EI Advogados,TRF5,São Paulo,STF,AP,Cum id voluptas quasi officiis. Saepe sunt explicabo a harum unde eligendi.,"['2021-03-28: Incidunt totam nihil aliquid reiciendis repellendus illo minus possimus.', '2021-06-24: Mollitia fugiat illum enim placeat accusantium.', '2021-08-22: Nisi voluptates laboriosam dolore.', '2021-10-24: Neque illum facilis repudiandae expedita accusantium beatae.', '2021-11-23: Dolor ex deleniti blanditiis excepturi.', '2022-01-01: Placeat dicta quas harum neque iure incidunt.', '2022-02-12: Totam error ad occaecati eaque cupiditate blanditiis nulla.', '2022-04-25: Tenetur ex veritatis praesentium debitis suscipit expedita.']"
495,19743-85.2024.5.40.5335,Evelyn Silva,Lopes,Recuperação Judicial,Direito Tributário,510758.35,74688.7,53669.65,0.0,Encerrado,Encerrado,2023-07-19,2025-06-04,2025-05-28,679.0,Extinto sem Resolução de Mérito,Bernardo Aparecida,Nunes Silva Ltda. Advogados,TRF1,Belo Horizonte,STF,MA,Earum qui cupiditate assumenda commodi. Ad omnis rem nam.,"['2023-10-02: Explicabo minima dignissimos hic.', '2023-12-24: Culpa voluptates magnam quos nemo vero neque recusandae repudiandae.', '2024-01-21: Quasi quae soluta magnam minus atque id perspiciatis velit suscipit.', '2024-02-23: Minus eligendi est deserunt et optio.', '2024-05-07: Aut ducimus veniam atque repudiandae ut doloremque ipsum itaque.', '2024-07-24: Libero ea consequuntur adipisci soluta omnis.', '2024-10-12: Amet officiis eos ratione suscipit ipsam nostrum dolorem.', '2024-11-17: Labore natus sapiente aliquid ea fuga aut expedita nisi.', '2024-12-25: Sint cupiditate repudiandae nam ipsum eligendi aliquid autem.', '2025-01-18: Libero autem ab maiores quidem quos iure.', '2025-02-03: Quis sed aspernatur praesentium id nihil cum nihil vel dicta.', '2025-03-10: Quisquam alias aperiam mollitia eligendi accusamus praesentium sed porro dolorem quos.', '2025-04-05: Est quo nisi esse temporibus omnis repellat delectus veritatis magnam.', '2025-06-04: Iusto velit fugit reprehenderit itaque aut.', '2025-06-04: Doloribus ipsam ullam quasi quis ipsam exercitationem in.', '2025-06-04: Aut eos id officiis provident atque illo maxime nesciunt.', '2025-06-04: Voluptatibus consequuntur architecto laudantium inventore laudantium laudantium cum.']"
496,23413-80.2002.5.67.7879,da Cruz,Borges,Divórcio,Direito Ambiental,232397.17,29085.94,16964.32,124288.19,Suspenso,Suspenso,2022-02-24,2023-03-20,,,,Dr. Gustavo Henrique Rios,Casa Grande Advogados,STF,Porto Alegre,STF,TO,Numquam autem et recusandae eos illo.,"['2022-04-09: Quos nemo quo earum amet at.', '2022-07-06: Aliquid aspernatur iste esse ducimus nam.', '2022-09-16: Placeat necessitatibus atque nihil repellat suscipit deleniti magnam.', '2022-10-03: Qui cupiditate eum possimus culpa sequi.', '2022-12-20: Quibusdam magni ad libero nesciunt itaque officia facilis eaque.', '2023-03-20: Illum enim ex debitis est iure.']"
497,81381-92.2017.7.88.2949,Raul Ferreira,Alves,Recuperação Judicial,Direito Civil,807798.06,105348.3,163908.05,173598.7,Encerrado,Encerrado,2021-07-16,2025-01-25,2022-10-18,459.0,Acordo Homologado,Sr. Caleb Garcia,Casa Grande Advogados,TJRJ,Brasília,TST,SE,Vel possimus quaerat perspiciatis debitis quod exercitationem.,"['2021-09-10: Laborum praesentium nemo corrupti.', '2021-10-15: Praesentium quam minima ipsa ad sunt velit.', '2021-11-10: Dignissimos voluptate quidem eius dolorem ipsa facere.', '2022-01-14: Molestias necessitatibus omnis porro veritatis.', '2022-03-16: Harum sequi magnam vero nam eius ut corrupti.', '2022-04-01: Dicta porro omnis mollitia tenetur tenetur nulla eos placeat perspiciatis.', '2022-05-28: Rem itaque animi enim eveniet expedita tempore.', '2022-08-20: Cumque tempora accusantium quis accusantium molestiae reiciendis consectetur placeat corporis.', '2022-10-31: Accusamus odio nisi modi.', '2022-11-28: Odit quas mollitia numquam in occaecati dicta non corrupti.', '2023-01-15: Commodi maiores aut numquam dignissimos veritatis.', '2023-03-22: Reprehenderit quo temporibus quaerat corrupti cumque corporis esse consequuntur architecto.', '2023-06-17: Sed maiores nam vel pariatur ducimus molestiae officia.', '2023-07-21: Molestiae pariatur voluptatibus cum placeat deleniti debitis.', '2023-08-14: Incidunt similique hic nobis necessitatibus aspernatur magni.', '2023-11-03: Quisquam id corporis totam beatae.']"
498,95367-98.2001.2.74.3273,Thiago da Luz,João Miguel Moraes,Mandado de Segurança,Direito do Consumidor,772798.32,36779.36,132760.76,415287.05,Réplica,Ativo,2023-06-17,2025-06-04,,,,Brayan Pereira,Souza Novais - EI Advogados,TRF1,Fortaleza,TST,PR,Nam dolore blanditiis.,"['2023-07-06: Ducimus consectetur laboriosam quaerat sit voluptatibus tenetur.', '2023-09-01: Voluptatibus reiciendis quo cumque cupiditate exercitationem placeat iste adipisci laudantium maiores.', '2023-09-20: Officia minima quos ipsa eaque dolore quasi quibusdam.', '2023-11-03: Id a officia mollitia a.', '2024-01-26: Laborum veritatis quia fugit quis veritatis explicabo maxime temporibus.', '2024-04-05: Quas tenetur et saepe dolorem.', '2024-05-22: Voluptatum magnam libero voluptas vitae delectus modi ut.', '2024-08-09: Totam enim perferendis eveniet nisi enim rerum fugit autem nostrum.', '2024-09-30: Vel suscipit blanditiis quia temporibus itaque odio culpa molestiae.', '2024-10-31: Reiciendis explicabo cum omnis quidem eveniet blanditiis ipsum doloribus voluptate.', '2024-12-23: Amet labore quas rerum ad beatae.', '2025-02-19: Odit ex hic itaque eos dolorum beatae suscipit.', '2025-05-10: Quaerat sint ea non non magni voluptates quos laudantium.', '2025-06-04: Praesentium laborum laudantium tempore qui maiores.', '2025-06-04: Accusantium cumque enim quibusdam sed dolor perspiciatis.']"
499,94839-10.2008.6.58.9940,Agatha Moreira,Vieira,Falência,Direito Civil,895300.86,59297.09,79858.82,0.0,Encerrado,Encerrado,2024-12-16,2025-06-04,2025-05-08,143.0,Recurso Provido,Maria Clara Castro,Casa Grande Advogados,TRF2,Salvador,2ª Instância,ES,Ratione nostrum natus quis laboriosam deserunt.,"['2025-01-09: Rem blanditiis eum est placeat voluptatibus deserunt numquam amet.', '2025-02-01: Magni sequi ab quibusdam earum autem ullam.', '2025-04-16: Quasi autem ut necessitatibus recusandae adipisci quod mollitia maiores.', '2025-06-04: Autem nulla libero facilis sed necessitatibus dolorem possimus odit consequatur.', '2025-06-04: Minima numquam corporis maxime sunt praesentium nemo molestiae distinctio.', '2025-06-04: Atque aliquam debitis eius inventore itaque impedit deserunt aliquam dolore.', '2025-06-04: Sed neque totam quidem molestias.', '2025-06-04: Aliquam officiis praesentium veniam quibusdam sed reprehenderit earum earum.', '2025-06-04: Blanditiis expedita aliquam exercitationem pariatur.', '2025-06-04: Quod cupiditate ex itaque accusamus aut magnam aliquid laudantium.', '2025-06-04: Magnam cupiditate dolore consectetur odit labore voluptate rem.', '2025-06-04: Porro rerum culpa porro sapiente cumque quod quas ut.', '2025-06-04: Dolores sint praesentium dolore architecto harum.', '2025-06-04: Molestiae in ipsa facilis nesciunt consectetur ipsam.', '2025-06-04: Officiis magni eius ad deleniti.', '2025-06-04: Veritatis ullam ex temporibus enim quis aperiam.', '2025-06-04: Recusandae doloremque porro modi ipsa numquam magnam atque.']"
500,85602-25.2021.1.83.9718,Anthony Marques,Jesus,Divórcio,Direito Civil,270057.89,3830.96,0.0,241858.02,Arquivado,Arquivado,2020-08-02,2024-06-07,2024-11-29,1580.0,Extinto com Resolução de Mérito,Sr. Caleb Garcia,Rodrigues Duarte S/A Advogados,TJRJ,Salvador,1ª Instância,RS,Quibusdam expedita ratione excepturi tenetur ea fuga illo.,"['2020-10-28: Dolores repudiandae a ullam molestiae aperiam quos ad.', '2020-11-16: Sed iusto dolores soluta voluptatibus maxime voluptatem quasi dignissimos.', '2020-12-04: Architecto molestiae perspiciatis aliquid tenetur delectus animi.', '2021-01-03: At dicta numquam corrupti labore soluta officiis soluta eaque possimus.', '2021-02-08: Quisquam totam veniam ipsam totam quae saepe.', '2021-03-30: Eligendi ipsa perspiciatis placeat ullam asperiores est.', '2021-06-22: Unde nam ipsum quo quia commodi ab quo.', '2021-07-29: Dolor inventore voluptate sit deleniti fugiat.', '2021-09-25: Consectetur voluptate non tempore veritatis tenetur molestias maxime quo natus.', '2021-11-26: Architecto magnam asperiores veniam velit tempore dolor reiciendis vitae ratione.', '2022-01-14: Facilis laboriosam alias vero harum.', '2022-03-02: Quae quidem quasi non deleniti in.', '2022-04-09: Sint enim laborum delectus molestiae sunt magnam adipisci tempora.', '2022-06-30: Explicabo possimus animi eaque delectus natus.', '2022-09-03: Molestiae magnam officiis corrupti laboriosam.', '2022-11-15: Id in tenetur optio maiores ad voluptas laudantium nisi eaque nostrum.', '2023-02-13: Soluta labore aspernatur laborum suscipit placeat.', '2023-04-19: Minus esse officiis quae qui libero nostrum.', '2023-05-29: Nam repellat architecto corrupti magni.']"
501,28396-45.2008.3.82.5040,Dra. Mariane Novaes,Câmara Azevedo Ltda.,Revisão Contratual,Direito Penal,866506.5,113755.75,209776.84,0.0,Alegações Finais,Ativo,2022-11-21,2024-01-10,,,,Dr. Gustavo Henrique Rios,Souza Novais - EI Advogados,TJRS,Vitória,STF,TO,Suscipit delectus labore fuga.,"['2023-01-08: Odio totam sed possimus amet soluta aliquid iure.', '2023-02-02: Molestias provident voluptate nulla cum sint.', '2023-03-30: Labore quas provident aliquid tenetur excepturi dolorum quaerat.']"
502,34458-68.2011.8.23.6625,Novaes,Caroline Silveira,Usucapião,Direito Tributário,530211.18,63326.07,50216.69,0.0,Recurso Especial,Ativo,2022-11-06,2024-11-03,,,,Sr. Caleb Garcia,Souza Novais - EI Advogados,TJRJ,Goiânia,2ª Instância,MG,Odio deleniti numquam unde quasi expedita ducimus.,"['2023-01-07: Repellat ut numquam dolorum accusamus nemo molestias ex quos iusto.', '2023-03-09: Corrupti nulla ipsam laborum deleniti ab ipsam tempora illum.', '2023-03-27: A incidunt illo laboriosam ullam accusamus possimus saepe vero itaque.', '2023-06-12: Quam cumque vitae beatae hic minus dolor architecto odio.', '2023-09-01: Esse ad quaerat nisi totam nostrum fugit accusantium.', '2023-10-19: Quibusdam eligendi error voluptatem earum debitis consectetur dolore.', '2023-12-22: Quae alias consequatur saepe doloremque explicabo aperiam optio.']"
503,83227-41.1991.6.97.8991,Ana Cecília Sá,Jesus,Ação Popular,Direito Administrativo,877872.32,118636.89,0.0,672377.94,Arquivado,Arquivado,2020-09-14,2021-09-10,2024-04-22,1316.0,Recurso Provido,Yago Leão,Nascimento Siqueira S.A. Advogados,TJMG,Curitiba,TST,AP,Deserunt debitis labore iste magni eum et.,"['2020-10-24: Ab veniam sed dolorem perferendis autem fugiat deleniti ipsa.', '2021-01-13: Ut aperiam voluptas molestiae reprehenderit eveniet dicta officia quidem.', '2021-03-11: Ipsum nihil id quisquam in amet modi.', '2021-06-08: Non facere ex repellendus deserunt labore nobis labore molestiae maiores.', '2021-07-23: Incidunt in odio numquam ex.', '2021-09-10: Nemo vero tempore mollitia enim.']"
504,14940-11.2013.4.51.6039,Camargo Ltda.,Thiago da Luz,Ação Popular,Direito do Consumidor,729203.54,44667.67,0.0,0.0,Arquivado,Arquivado,2022-11-06,2024-03-20,2025-05-07,913.0,Recurso Improvido,Dra. Aurora Pastor,Nunes Silva Ltda. Advogados,TJSC,Porto Alegre,1ª Instância,DF,Aperiam assumenda consequatur soluta blanditiis vero.,"['2023-01-14: Unde iure id maxime odit exercitationem excepturi quam pariatur.', '2023-03-27: Molestiae fuga impedit quidem quaerat ut sequi.', '2023-05-21: Est voluptate architecto repudiandae incidunt corrupti iste totam.', '2023-06-10: Repellendus voluptates cum id quidem natus aspernatur animi.', '2023-06-27: Commodi voluptates nesciunt ad nam ducimus dolores aut.', '2023-08-15: Ut unde aliquam voluptate illo est quod.', '2023-09-18: Dolores ex possimus molestiae maiores dicta.', '2023-10-16: Dolorem at neque officiis facere eligendi eveniet.', '2023-12-06: Placeat magnam vel occaecati quia velit rem inventore eum ea.', '2024-01-01: Ipsum praesentium assumenda necessitatibus accusantium sapiente ut a accusantium tempore quibusdam.', '2024-01-20: Illum at natus magni maiores illo ducimus possimus.', '2024-03-20: Tempora hic voluptate veritatis possimus quod exercitationem corporis quasi quis.']"
505,33242-58.2014.9.16.9580,Sophia Guerra,Hadassa Moraes,Execução,Direito Imobiliário,130646.12,16756.45,28910.77,30078.87,Encerrado,Encerrado,2023-07-22,2024-10-11,2025-05-17,665.0,Prejudicado,Dr. Gustavo Henrique Rios,Rodrigues Duarte S/A Advogados,TST,São Paulo,STJ,MS,Expedita error fugit natus qui possimus minus.,"['2023-09-16: Itaque voluptates voluptatem culpa laboriosam vero.', '2023-12-14: Sint quia tenetur fugiat enim non ratione distinctio ad.', '2024-03-02: Quisquam labore placeat blanditiis itaque.', '2024-05-09: Est accusantium dolore voluptatibus tenetur eaque blanditiis.', '2024-07-20: Ab molestias sequi dicta ut vero dolore sequi.', '2024-10-11: Earum libero cupiditate saepe enim odit saepe.']"
506,67960-35.2009.3.18.9072,Dra. Ísis Pereira,Ísis Santos,Divórcio,Direito Ambiental,588732.9,85386.85,66800.85,0.0,Suspenso,Suspenso,2025-03-07,2025-06-04,,,,Dr. Gustavo Henrique Rios,Azevedo Advogados,TRT2,Ribeirão Preto,STJ,SC,Ea perspiciatis quaerat expedita. Deleniti tempore nemo dolores ab quo.,"['2025-04-29: Ullam deleniti quaerat perferendis soluta veritatis.', '2025-05-29: Ipsum hic cum minima possimus vel.', '2025-06-04: Dolor facere ullam omnis voluptatem architecto architecto nobis.']"
507,66112-42.1991.3.01.1645,Vargas,Farias S/A,Falência,Direito Administrativo,958502.86,27181.13,0.0,0.0,Alegações Finais,Ativo,2023-09-20,2024-08-10,,,,Eduardo Cunha,Andrade Dias - ME Advogados,TRT3,Ribeirão Preto,2ª Instância,AM,Doloribus quia inventore sed. Architecto vero aut soluta.,"['2023-10-31: Earum quas animi recusandae numquam enim ducimus perspiciatis.', '2023-11-15: Necessitatibus ea corporis ut a alias quis magnam pariatur a.']"
508,52464-43.2020.1.67.4343,Dra. Mariane Novaes,Maria Luísa Pinto,Divórcio,Direito Tributário,525267.1,33422.46,130802.06,262458.94,Encerrado,Encerrado,2020-09-16,2024-04-14,2023-04-30,956.0,Recurso Provido,Mateus da Mota,Martins Garcia Ltda. Advogados,TJPR,Curitiba,STJ,PI,Ad nobis corporis facere provident repudiandae. Non consequuntur deleniti sed at.,"['2020-11-07: Illum laborum iusto corporis aliquam aperiam eligendi.', '2021-01-13: Et cupiditate perspiciatis ex inventore provident fugit consequuntur cumque.', '2021-02-16: Veritatis officia rem eligendi atque.', '2021-03-03: Accusantium vitae fugit dolor quasi.', '2021-04-03: Dolor sint officia quidem saepe iure ab fugit perspiciatis officia consequuntur.', '2021-06-03: Ex minima quod quod quas veniam odio.', '2021-08-22: Pariatur optio ex iure facilis consequuntur esse laboriosam aliquam maxime.', '2021-09-27: Porro ipsum consectetur soluta.', '2021-11-28: Facere distinctio culpa sapiente esse nam.', '2022-01-18: Possimus hic reiciendis sint excepturi incidunt.', '2022-02-28: Esse distinctio doloremque quia qui tempora.', '2022-03-23: Sequi architecto tempore illum incidunt facilis quod.', '2022-06-13: Dolorum animi nobis eveniet eos.', '2022-07-25: Molestiae possimus aperiam nesciunt autem.', '2022-08-31: Repellendus commodi ut eius earum.', '2022-11-23: Alias quis nesciunt amet neque tempora.', '2022-12-21: Reprehenderit aliquam neque illum accusantium quas unde.', '2023-01-22: Magnam pariatur hic eveniet perferendis culpa expedita sed.', '2023-03-02: Hic explicabo excepturi possimus sapiente suscipit est consequuntur cupiditate.']"
509,18246-16.2002.3.83.1116,Sá,Miguel Cardoso,Usucapião,Direito do Trabalho,415952.63,32666.96,66780.86,218795.45,Arquivado,Arquivado,2023-09-13,2025-05-28,2025-05-18,613.0,Improcedente,Sra. Isabelly Câmara,Rezende Monteiro - ME Advogados,TJSP,Rio de Janeiro,TST,ES,Rem aliquam ut rem numquam commodi. Illo quidem sit suscipit assumenda mollitia non.,"['2023-10-21: Nostrum tempora cupiditate magni aut.', '2023-12-19: Non ipsum porro delectus accusantium totam dolore.', '2024-03-04: Itaque libero numquam blanditiis ducimus enim doloribus fugit.', '2024-05-17: Fugiat quidem voluptatum ullam excepturi expedita.', '2024-07-12: Quasi dicta error laboriosam iusto inventore.', '2024-08-29: Sit quaerat ipsa voluptate explicabo.', '2024-10-29: Iste rem voluptatibus error repellat recusandae.', '2025-01-23: Nesciunt architecto perspiciatis sunt necessitatibus dolor adipisci doloribus laudantium magni eum.', '2025-03-13: Ut ullam pariatur perspiciatis soluta est sint velit minima quae.', '2025-05-28: Minus illum numquam itaque ad id aut quaerat.']"
510,27782-48.1999.1.42.3333,Carvalho,Isaque Araújo,Divórcio,Direito Previdenciário,729826.7,47401.79,63006.3,143588.89,Arquivado,Arquivado,2020-12-19,2023-07-14,2022-03-13,449.0,Improcedente,Dr. Gustavo Henrique Rios,Casa Grande Advogados,TJDF,Ribeirão Preto,TST,ES,Deleniti molestias dolore atque facere temporibus a ut. Libero ducimus aut facere sed accusantium exercitationem possimus.,"['2021-01-28: Asperiores magnam rerum nihil temporibus reprehenderit quas sunt magni.', '2021-04-09: Explicabo illo officia ea animi.', '2021-05-21: Fugiat soluta architecto atque numquam.', '2021-08-16: Impedit ab eaque ex corrupti illo mollitia commodi vel.', '2021-11-13: Non suscipit quae assumenda quasi.', '2021-12-21: Pariatur cupiditate provident adipisci repellendus labore.', '2022-01-08: Commodi veniam facilis rerum blanditiis debitis repellat.', '2022-03-05: Similique magni natus reprehenderit aperiam illum.', '2022-04-12: Veritatis dignissimos voluptas aspernatur consequuntur veniam qui.', '2022-05-19: Saepe hic quo architecto architecto porro quis.', '2022-06-22: Sit officiis necessitatibus libero velit distinctio accusantium eum ullam.']"
511,85582-72.2003.7.22.2651,Barros e Filhos,da Costa Castro S.A.,Falência,Direito Ambiental,553583.26,16686.22,0.0,216425.5,Encerrado,Encerrado,2024-03-30,2025-06-04,2025-05-16,412.0,Recurso Improvido,Mateus da Mota,Souza Novais - EI Advogados,TRF2,Ribeirão Preto,STJ,ES,Odio dolor voluptas.,"['2024-06-24: Ducimus suscipit autem nam placeat porro occaecati earum.', '2024-08-17: Molestias beatae at soluta temporibus velit quidem eligendi.', '2024-10-05: Quod rerum quos repellendus.', '2024-12-12: Quisquam sed quas expedita voluptatibus eius modi amet consequatur.', '2025-01-11: Quaerat voluptatem placeat consectetur mollitia amet quidem soluta consectetur.', '2025-03-29: Ipsum deleniti quas repellendus ducimus earum.', '2025-06-04: Quae nihil illo laborum odit aperiam.', '2025-06-04: Sed vitae deleniti impedit.', '2025-06-04: Eos rerum laudantium accusantium pariatur ducimus ex.', '2025-06-04: Voluptatum delectus dolorem voluptatem excepturi porro natus itaque.', '2025-06-04: Voluptates in nulla magni vitae officiis velit.', '2025-06-04: Cumque tempore sed sit dolore ad.', '2025-06-04: Ipsum ipsum officiis odit ab dolorem.', '2025-06-04: Laudantium beatae unde suscipit excepturi sunt sunt.', '2025-06-04: Quas consequuntur delectus assumenda placeat occaecati cum quam aliquid.']"
512,53597-33.2006.8.79.2908,Fogaça,Andrade,Usucapião,Direito Imobiliário,70812.59,1257.72,16302.09,36935.85,Arquivado,Arquivado,2021-07-20,2024-04-20,2025-05-31,1411.0,Acordo Homologado,Julia Aparecida,Nascimento Siqueira S.A. Advogados,TRF5,Campinas,2ª Instância,PB,Corrupti perferendis sed aut enim nisi unde veritatis. Odit omnis nostrum maxime dolore quis.,"['2021-08-21: Deleniti perspiciatis molestias odit mollitia.', '2021-11-18: Ullam sapiente facere adipisci amet atque optio illum.', '2022-02-12: Dicta fugiat natus odit deleniti sit magni quas ullam nulla.', '2022-05-04: Neque molestiae soluta sequi beatae dolore officia est reiciendis quas.', '2022-06-19: Possimus nisi libero deleniti sequi neque sit.', '2022-07-20: Molestiae at officia minima hic id.', '2022-08-23: Id doloribus error recusandae repellat nobis atque ea beatae.', '2022-09-10: Cupiditate non iure ab explicabo voluptates pariatur beatae unde ut.', '2022-10-07: Sunt velit inventore officia voluptates id atque.', '2022-11-08: Unde incidunt placeat rem quaerat voluptate.', '2023-01-08: Itaque rem expedita dicta.', '2023-03-14: Ea facilis cum natus dolore pariatur eveniet.', '2023-04-04: Autem possimus corrupti provident suscipit sapiente nisi voluptates.', '2023-06-28: Illo exercitationem incidunt illum qui facilis quis assumenda earum.', '2023-08-06: Placeat dolorem ullam ducimus est laborum neque fugit quasi quod.']"
513,32710-04.1992.5.98.9010,Hellena Cavalcanti,Dr. Oliver Araújo,Inventário,Direito Penal,211375.15,24011.66,26303.22,52362.9,Arquivado,Arquivado,2021-02-07,2022-03-28,2021-09-09,214.0,Procedente,Anna Liz Novaes,Carvalho Advogados,TRT3,Recife,STJ,RR,Error suscipit nobis odio omnis commodi commodi laboriosam. Hic est consequuntur ipsam.,"['2021-03-29: Porro maiores ipsum eaque repudiandae quod ipsum voluptates.', '2021-05-21: Totam dicta a aperiam assumenda atque nulla dolorum beatae molestias.', '2021-07-05: Hic nobis velit pariatur magnam quis.', '2021-09-07: Quae exercitationem quam nam iure.', '2021-10-02: Expedita earum neque nesciunt.']"
